animals that have shells and live in water	Shell_(zoology)
how many different types of scorpions are there	Scorpion
describe the structure of a scientific name for a species	Binomial_nomenclature
what are the 3 types of plastids in plant cells	Plastid
who named the cell and how did he come up with that name	Cell_theory
what are the names of all the european countries	List_of_European_countries_by_area
what are three other names for makar sankranti	Samkranthi
plants that you blow to make a wish	Dandelion
who has made the most make a wish	Make-A-Wish_Foundation
motar is made up of what and what	Mortar_(masonry)
what are the 3 largest countries in europe	List_of_European_countries_by_area
how many types of tonsils do we have	Tonsil
how many types of raptors are there in the world	Bird_of_prey
different names of grasslands in different parts of the world	Grassland
an animal that eat both plants and animals	Omnivore
where does pcp come from and how is it made	Phencyclidine
name four of the main functions of epithelia tissues	Epithelium
who concluded that all cells come from preexisting cells	Cell_theory
what are the names of the three chipmunks	Alvin_and_the_Chipmunks
form in which carbohydrates are transported in plants	Carbohydrate
who determines whether the two organisms of a species will be exactly similar or not	Biological_species_concept
where is the interfasicular cambium found in eudicot plants	Vascular_cambium
a group of connected cells that have a similar function	Isomer
who determined that all animals are made of cells	Cell_theory
top 10 largest countries by population in the world	List_of_countries_and_dependencies_by_population
why do we have two types of nephrons	Nephron
give examples of the types of fossils formed through permineralization and carbonization	Fossil
name three things that plant cells share by transporting them through the plasmodesmata	Plasmodesma
what occurs during the cell cycle in plants but not animals	Parthenogenesis
the two types of glial cells are called	Glial_cell
who proposed all cells arise from the preexisting cells explain this statement	Cell_theory
which are the largest country in the world	List_of_countries_by_area
who discovered all cells come from other cells	Cell_theory
which of the following contain members that have chloroplasts in their cells	Chloroplast
how are carnivorous plants stronger than other plants	Carnivorous_plant
where are ribosomes made what are ribosomes made from	Ribosome
which of the following lists examples or structures from three different phyla of fungi	Lichen
combining 2 names to make a new name	Portmanteau_word
where are genes found in plants and animals	Mitochondrial_DNA
carbohydrates that help form glycoproteins are made here	Glycoprotein
where do plastics come from and how are they made	Plastic
how many types of epithelial tissues are there	Epithelium
how does cytokenesis differ in plant and animal cells	Cytokinesis
